id,name,cleanName,english_name,shortHand,country,continent,founded,image,flag_element,season,seasonClean,url,stadium_name,stadium_address,table_position,performance_rank,risk,season_format,competition_id,full_name,alt_names,official_sites.
33,BVB 09 Borussia Dortmund,Borussia Dortmund,BVB 09 Borussia Dortmund,bvb-09-borussia-dortmund,Germany,,1909,https://cdn.footystats.org/img/teams/germany-bvb-09-borussia-dortmund.png,,2013/2014,,https://footystats.org/clubs/germany/bvb-09-borussia-dortmund,,,2,2,118,Domestic League,7,BVB 09 Borussia Dortmund,[],https://www.bvb.de/eng
34,1. FSV Mainz 05,Mainz 05,1 FSV Mainz 05,1-fsv-mainz-05,Germany,,1905,https://cdn.footystats.org/img/teams/germany-1-fsv-mainz-05.png,,2013/2014,,https://footystats.org/clubs/germany/1-fsv-mainz-05,,,7,7,97,Domestic League,7,1. FSV Mainz 05,[],https://www.mainz05.de
35,FC Schalke 04,Schalke 04,FC Schalke 04,fc-schalke-04,Germany,,1904,https://cdn.footystats.org/img/teams/germany-fc-schalke-04.png,,2013/2014,,https://footystats.org/clubs/germany/fc-schalke-04,,,3,3,74,Domestic League,7,FC Schalke 04,[],https://schalke04.de/en/
36,Hamburger SV,Hamburger SV,Hamburger SV,hamburger-sv,Germany,,1887,https://cdn.footystats.org/img/teams/germany-hamburger-sv.png,,2013/2014,,https://footystats.org/clubs/germany/hamburger-sv,,,16,16,126,Domestic League,7,Hamburger SV,[],https://www.hsv.de/en/overview/
37,SV Werder Bremen,Werder Bremen,SV Werder Bremen,sv-werder-bremen,Germany,,1899,https://cdn.footystats.org/img/teams/germany-sv-werder-bremen.png,,2013/2014,,https://footystats.org/clubs/germany/sv-werder-bremen,,,12,12,88,Domestic League,7,SV Werder Bremen,[],https://www.werder.de/en
38,FC Bayern München,Bayern München,FC Bayern Munchen,fc-bayern-munchen,Germany,,1900,https://cdn.footystats.org/img/teams/germany-fc-bayern-munchen.png,,2013/2014,,https://footystats.org/clubs/germany/fc-bayern-munchen,,,1,1,124,Domestic League,7,FC Bayern München,[],https://fcbayern.com/en
39,Borussia VfL Mönchengladbach,Borussia M'gladbach,Borussia VfL Monchengladbach,borussia-vfl-monchengladbach,Germany,,1900,https://cdn.footystats.org/img/teams/germany-borussia-vfl-monchengladbach.png,,2013/2014,,https://footystats.org/clubs/germany/borussia-vfl-monchengladbach,,,6,6,100,Domestic League,7,Borussia VfL Mönchengladbach,[],https://www.borussia.de/english/home.html
40,Bayer 04 Leverkusen,Bayer Leverkusen,Bayer 04 Leverkusen,bayer-04-leverkusen,Germany,,1904,https://cdn.footystats.org/img/teams/germany-bayer-04-leverkusen.png,,2013/2014,,https://footystats.org/clubs/germany/bayer-04-leverkusen,,,4,4,85,Domestic League,7,Bayer 04 Leverkusen,[],https://www.bayer04.de/en-us
42,SC Freiburg,Freiburg,SC Freiburg,sc-freiburg,Germany,,1904,https://cdn.footystats.org/img/teams/germany-sc-freiburg.png,,2013/2014,,https://footystats.org/clubs/germany/sc-freiburg,,,14,14,82,Domestic League,7,SC Freiburg,[],https://www.scfreiburg.com/
43,VfL Wolfsburg,Wolfsburg,VfL Wolfsburg,vfl-wolfsburg,Germany,,1945,https://cdn.footystats.org/img/teams/germany-vfl-wolfsburg.png,,2013/2014,,https://footystats.org/clubs/germany/vfl-wolfsburg,,,5,5,121,Domestic League,7,VfL Wolfsburg,[],https://www.vfl-wolfsburg.de/en/info.html
