id,name,cleanName,english_name,shortHand,country,continent,founded,image,flag_element,season,seasonClean,url,stadium_name,stadium_address,table_position,performance_rank,risk,season_format,competition_id,full_name,alt_names,official_sites.
1,Montreal Impact,Montreal Impact,Montreal Impact,montreal-impact,Canada,,2010,https://cdn.footystats.org/img/teams/canada-montreal-impact.png,,2012,,https://footystats.org/clubs/canada/montreal-impact,,,7,12,79,Domestic League,4227,Montreal Impact,[],https://www.impactmontreal.com/en
4,New York Red Bulls,New York RB,New York Red Bulls,new-york-red-bulls,USA,,1995,https://cdn.footystats.org/img/teams/usa-new-york-red-bulls.png,,2012,,https://footystats.org/clubs/usa/new-york-red-bulls,,,3,7,64,Domestic League,4227,New York Red Bulls,[],https://www.newyorkredbulls.com
5,Vancouver Whitecaps FC,Vancouver Whitecaps,Vancouver Whitecaps FC,vancouver-whitecaps-fc,Canada,,1986,https://cdn.footystats.org/img/teams/canada-vancouver-whitecaps-fc.png,,2012,,https://footystats.org/clubs/canada/vancouver-whitecaps-fc,,,5,11,60,Domestic League,4227,Vancouver Whitecaps FC,[],https://www.whitecapsfc.com/
6,Houston Dynamo,Houston Dynamo,Houston Dynamo,houston-dynamo,USA,,2005,https://cdn.footystats.org/img/teams/usa-houston-dynamo.png,,2012,,https://footystats.org/clubs/usa/houston-dynamo,,,5,6,60,Domestic League,4227,Houston Dynamo,[],https://www.houstondynamo.com/
7,Chicago Fire,Chicago Fire,Chicago Fire,chicago-fire,USA,,1997,https://cdn.footystats.org/img/teams/usa-chicago-fire.png,,2012,,https://footystats.org/clubs/usa/chicago-fire,,,4,9,63,Domestic League,4227,Chicago Fire,[],https://www.chicago-fire.com/
8,Sporting Kansas City,Sporting KC,Sporting Kansas City,sporting-kansas-city,USA,,1995,https://cdn.footystats.org/img/teams/usa-sporting-kansas-city.png,,2012,,https://footystats.org/clubs/usa/sporting-kansas-city,,,1,3,44,Domestic League,4227,Sporting Kansas City,[],https://www.sportingkc.com/
9,Columbus Crew,Columbus Crew,Columbus Crew,columbus-crew,USA,,1996,https://cdn.footystats.org/img/teams/usa-columbus-crew.png,,2012,,https://footystats.org/clubs/usa/columbus-crew,,,6,10,56,Domestic League,4227,Columbus Crew,[],https://www.columbuscrewsc.com/
10,LA Galaxy,LA Galaxy,LA Galaxy,la-galaxy,USA,,1995,https://cdn.footystats.org/img/teams/usa-la-galaxy.png,,2012,,https://footystats.org/clubs/usa/la-galaxy,,,4,2,103,Domestic League,4227,LA Galaxy,['Los Angeles Galaxy'],https://www.lagalaxy.com/
11,New England Revolution,New England Revolution,New England Revolution,new-england-revolution,USA,,1995,https://cdn.footystats.org/img/teams/usa-new-england-revolution.png,,2012,,https://footystats.org/clubs/usa/new-england-revolution,,,9,16,62,Domestic League,4227,New England Revolution,[],https://www.revolutionsoccer.net/
12,Colorado Rapids,Colorado Rapids,Colorado Rapids,colorado-rapids,USA,,1996,https://cdn.footystats.org/img/teams/usa-colorado-rapids.png,,2012,,https://footystats.org/clubs/usa/colorado-rapids,,,7,14,71,Domestic League,4227,Colorado Rapids,[],https://www.coloradorapids.com/
13,FC Dallas,FC Dallas,FC Dallas,fc-dallas,USA,,1996,https://cdn.footystats.org/img/teams/usa-fc-dallas.png,,2012,,https://footystats.org/clubs/usa/fc-dallas,,,6,13,76,Domestic League,4227,FC Dallas,[],https://www.fcdallas.com/
14,Real Salt Lake,Real Salt Lake,Real Salt Lake,real-salt-lake,USA,,2004,https://cdn.footystats.org/img/teams/usa-real-salt-lake.png,,2012,,https://footystats.org/clubs/usa/real-salt-lake,,,2,8,56,Domestic League,4227,Real Salt Lake,[],https://www.rsl.com/
15,San Jose Earthquakes,SJ Earthquakes,San Jose Earthquakes,san-jose-earthquakes,USA,,1995,https://cdn.footystats.org/img/teams/usa-san-jose-earthquakes.png,,2012,,https://footystats.org/clubs/usa/san-jose-earthquakes,,,1,1,103,Domestic League,4227,San Jose Earthquakes,[],https://www.sjearthquakes.com/
16,Philadelphia Union,Philadelphia Union,Philadelphia Union,philadelphia-union,USA,,2008,https://cdn.footystats.org/img/teams/usa-philadelphia-union.png,,2012,,https://footystats.org/clubs/usa/philadelphia-union,,,8,15,71,Domestic League,4227,Philadelphia Union,[],https://www.philadelphiaunion.com/
18,Seattle Sounders FC,Seattle Sounders,Seattle Sounders FC,seattle-sounders-fc,USA,,2007,https://cdn.footystats.org/img/teams/usa-seattle-sounders-fc.png,,2012,,https://footystats.org/clubs/usa/seattle-sounders-fc,,,3,4,68,Domestic League,4227,Seattle Sounders FC,[],https://www.soundersfc.com/
19,Toronto FC,Toronto,Toronto FC,toronto-fc,Canada,,2006,https://cdn.footystats.org/img/teams/canada-toronto-fc.png,,2012,,https://footystats.org/clubs/canada/toronto-fc,,,10,19,59,Domestic League,4227,Toronto FC,[],https://www.torontofc.ca
20,Portland Timbers,Portland Timbers,Portland Timbers,portland-timbers,USA,,2009,https://cdn.footystats.org/img/teams/usa-portland-timbers.png,,2012,,https://footystats.org/clubs/usa/portland-timbers,,,8,17,74,Domestic League,4227,Portland Timbers,[],https://www.timbers.com
224,CD Chivas USA,Chivas USA,CD Chivas USA,cd-chivas-usa,USA,,2004,https://cdn.footystats.org/img/teams/usa-cd-chivas-usa.png,,2012,,https://footystats.org/clubs/usa/cd-chivas-usa,,,9,18,71,Domestic League,4227,CD Chivas USA,[],https://www.facebook.com/CD-Chivas-USA-129929617024670/
13401,DC United,DC United,DC United,dc-united,USA,,1996,https://cdn.footystats.org/img/teams/usa-dc-united.png,,2012,,https://footystats.org/clubs/usa/dc-united,,,2,5,74,Domestic League,4227,DC United,['DC United'],https://www.dcunited.com/
